TVAE_10000_0,CTGAN_10000_0,TVAE_10000_10,CTGAN_10000_10,TVAE_10000_20,CTGAN_10000_20,TVAE_25000_0,CTGAN_25000_0,TVAE_25000_10,CTGAN_25000_10,TVAE_25000_20,CTGAN_25000_20,TVAE_50000_0,CTGAN_50000_0,TVAE_50000_10,CTGAN_50000_10,TVAE_50000_20,CTGAN_50000_20
-0.15672895135211032,-0.4169480560851627,-0.04254905353114905,-0.3674280267219672,-0.19825825087765053,-0.33961213967033826,-0.14773736553915634,-0.3532444704983966,-0.1078181492646843,-0.3730705117796423,-0.09256785492960487,-0.2566887122276659,-0.060955444484595514,-0.22972829292918537,-0.1188250024527311,-0.4058760387433733,-0.0575083420971106,-0.290984192217989
-0.1483440633120391,-0.4175271557505385,-0.07096968363271516,-0.3787371048117536,-0.18977167023210134,-0.3667867015922894,-0.16056747179500216,-0.35628145186634785,-0.09329992522460197,-0.36287400245735996,-0.11198366343602956,-0.2705831835317297,-0.06145561542374158,-0.229813368723705,-0.0940157260949461,-0.41261547042521035,-0.06749753591159378,-0.28856805335967983
-0.1557771460382212,-0.42368879652153085,-0.06863405529010451,-0.37834812334499124,-0.17417214209311535,-0.37611791508815534,-0.1497147735408552,-0.3495148827069571,-0.07517797844552893,-0.39172873599658814,-0.10104051408400866,-0.2698728607019765,-0.05629802052640158,-0.23129739690301543,-0.11533799457468454,-0.4154446614286845,-0.06751034191825306,-0.28189248699848174
-0.11591625540825755,-0.39563239503821107,-0.04120089449454797,-0.36993553514492056,-0.16929281555581885,-0.36815768416583167,-0.14451107039090788,-0.3483747504010029,-0.10781655673320191,-0.38767803030846204,-0.11201790781851853,-0.268032122490423,-0.0745251643153163,-0.2319562631847574,-0.11357755752036479,-0.4113105139061802,-0.07369143093914211,-0.28087877414726214
-0.14664637985300505,-0.4413591358686577,-0.05927977252796053,-0.39218282538651894,-0.1960731457862086,-0.3449270312547478,-0.1396524127258539,-0.3453183908527949,-0.09938852719561314,-0.3791782105851321,-0.1027892167527086,-0.2861699320346655,-0.05461740597526566,-0.2372489443876876,-0.11511881834602555,-0.40936109863334663,-0.07067775354889297,-0.28554940976988674
-0.12122779072526926,-0.40954415180542797,-0.07890233449398945,-0.38787780154101364,-0.20186164369343867,-0.3576098255435316,-0.14382000126028846,-0.35032657541814793,-0.0815294881177886,-0.38597531137295543,-0.08997479022161023,-0.264316946780731,-0.06550867888791188,-0.224278919894287,-0.11159920388562584,-0.4153696340823482,-0.06576559312610987,-0.2871943859974536
-0.1291814401964887,-0.3938471148876089,-0.057915208815551344,-0.37717847344316113,-0.18861683834100731,-0.3659243725683164,-0.15971860212503028,-0.3555014133911368,-0.10033501370030326,-0.3634614634228749,-0.10271664057695583,-0.2679665893891716,-0.060866080274105616,-0.22246189023931698,-0.11358912428496963,-0.4207805425268374,-0.06649219415132086,-0.2711954321611325
-0.17656001657560086,-0.4163857806181635,-0.07397868462256116,-0.3907390288775125,-0.18949089072196781,-0.39541255786430834,-0.14673612611645143,-0.358345009607816,-0.08486813069530089,-0.38478658777333397,-0.10617112173865198,-0.2546693900418537,-0.0635087142229391,-0.23552831952701664,-0.11850633432338807,-0.4119822296753168,-0.06701959470494114,-0.2933158442406907
-0.12544930686312963,-0.4185401823359729,-0.05500550695334866,-0.3822597858907071,-0.16409595547943465,-0.3891349335354739,-0.14114058776627605,-0.3541105666299642,-0.1003841030076833,-0.3839688834589841,-0.09470269555104492,-0.2700633358039629,-0.05729530842266081,-0.22614553551339672,-0.13028603915575362,-0.41130395113214824,-0.07549095058688829,-0.28083060671915483
-0.14185676445178508,-0.4468152524841659,-0.03550006391488821,-0.37820374305036814,-0.15594092379084593,-0.35466464087943134,-0.15013212374463888,-0.34730525324547684,-0.08624057345124934,-0.3921249107451273,-0.09718054534193406,-0.2700382691968464,-0.05914646785194783,-0.23370738551847595,-0.11182344811004777,-0.4153581760067633,-0.07820438797195305,-0.28133774427960234
-0.1426740726752724,-0.4249690182808225,-0.06595110768281935,-0.38484836684577833,-0.19915025190238286,-0.37243553421485104,-0.14493436717153207,-0.35537687482537456,-0.0796816720021957,-0.3694555930275889,-0.11222746341617226,-0.2646616590480301,-0.07210381004867401,-0.23272851897856892,-0.11718562259573484,-0.40899762811665574,-0.07098670946462436,-0.2832052449632769
-0.171454568373133,-0.40881786086954786,-0.05282641385074004,-0.36942429042201447,-0.1783084782736726,-0.36058023473651707,-0.14939630275394372,-0.34778668774447147,-0.0817200712550697,-0.37594011351636647,-0.09987309384382208,-0.2789296756751815,-0.06418080758885548,-0.22469311208656512,-0.10970216590023531,-0.41946157532566564,-0.07240091865009819,-0.2801520661055762
-0.12832455430937828,-0.4363707002794267,-0.07041956737122435,-0.37678661899842514,-0.1863116651903136,-0.33253916886245266,-0.15540045883826725,-0.3592674619543537,-0.07831646544544604,-0.3692147546019019,-0.10056190427761189,-0.27062515212950256,-0.0620105442535381,-0.23459512452950484,-0.10979226649836554,-0.4075034676700379,-0.06479488965143528,-0.28893282423628197
-0.15275069290698737,-0.42032892696832824,-0.06858713911099323,-0.3724428788575146,-0.16186234729511187,-0.3389042489673133,-0.1511286619483381,-0.34586323394760754,-0.08016012686051853,-0.3672595734859486,-0.09627544760622887,-0.2720773967526887,-0.07390979338378524,-0.22863208166434767,-0.1105658515583735,-0.4037614252984061,-0.0764457217215639,-0.28283733496136
-0.1569244732288692,-0.424889352621239,-0.07314709348259088,-0.37530346586906066,-0.16966913614706747,-0.3835034382581385,-0.14203156147830076,-0.3605396136400277,-0.08782620245453863,-0.38472114966683,-0.12034037544142387,-0.2499514362179708,-0.05606242079134288,-0.2250628187774809,-0.11046541820694278,-0.41069056671053306,-0.0679554383237845,-0.29233953119762357
-0.1440072948735112,-0.41120247579985114,-0.09469692896561167,-0.3780951553466131,-0.16736775268445137,-0.3679271542813443,-0.14245158278252257,-0.35159112159379197,-0.09987821497094573,-0.37497500303555154,-0.09878250713082704,-0.2517329998049304,-0.05427736245195704,-0.2263990013594555,-0.108344902429971,-0.4120378589952994,-0.06818717045264955,-0.2754527280331169
-0.13983237152530245,-0.43023825964294504,-0.07751991615506976,-0.363827728091451,-0.13535664655198626,-0.3808356940069365,-0.15216554976683624,-0.35321380442772016,-0.08214061040727583,-0.3723308134533183,-0.09332852591829907,-0.26911466724782473,-0.06094875095046939,-0.2278190205568141,-0.11003169628484434,-0.3983132425284692,-0.07502405478260833,-0.28327807909778696
-0.13151811834090307,-0.43118061090140697,-0.060736767300204365,-0.37848309471786706,-0.18456486039643988,-0.3681535517910648,-0.14606747329946268,-0.34941025736531806,-0.0860490622610892,-0.37465111989947614,-0.09292155882487288,-0.26980820839587244,-0.07041937807440073,-0.22437319485836435,-0.12004182261554386,-0.4161945141299295,-0.055066771809067994,-0.2954289533374792
-0.13736709171483066,-0.4322518037175402,-0.03980818316122524,-0.3805892453728094,-0.1572157224804111,-0.36918774598732707,-0.1442410867754516,-0.36141893125817975,-0.0917130927352439,-0.3669567995376568,-0.09868244963693042,-0.26650032100939197,-0.06304524490279712,-0.22347703437846078,-0.11046569663456038,-0.40994578133504356,-0.06992819096537817,-0.2932030754984179
-0.12130641494939082,-0.41102294507019616,-0.0679413568783856,-0.3833594343363524,-0.1731389509732102,-0.37637013773506556,-0.14430445706910663,-0.361157573801616,-0.09836024391690144,-0.3723488014373306,-0.10260336180327595,-0.26053998373694853,-0.06394640098705213,-0.23273254302797472,-0.11526643191945386,-0.4121743640680202,-0.06137002750087726,-0.289696684115055
-0.15312791816017693,-0.4286990135086934,-0.06187832117475747,-0.3745754767151406,-0.18690207541888038,-0.34990972488251476,-0.14222493030507846,-0.3550099111379061,-0.09215924176138848,-0.38305215892604677,-0.09273269113641087,-0.24820130116195305,-0.06507155445891726,-0.23463776993366378,-0.11149280049655189,-0.40641043132809807,-0.05948121078030115,-0.2802166526946095
-0.13982365726292464,-0.42006020792346627,-0.0664336721621688,-0.34536309370375834,-0.1523025821116043,-0.3571019638874602,-0.13987933811334108,-0.3511033448616781,-0.08990685406852783,-0.37046962515598136,-0.09815245958622852,-0.25174143304402447,-0.057756827434280365,-0.2261852586246642,-0.10973796188768951,-0.40530521007493103,-0.06436494305261237,-0.2766511678950535
-0.11031877342780293,-0.4172053144798245,-0.028926821162302236,-0.36317543605060587,-0.17268129924163456,-0.3874591511476864,-0.13420437458188347,-0.3443687644083857,-0.09744401261997755,-0.3688587627854422,-0.10438502645589724,-0.26488915423166953,-0.054676934532465894,-0.22575249695170685,-0.10175845098138528,-0.41594664941970305,-0.06075702158721129,-0.29551189284809853
-0.1515043849418503,-0.4237827808610965,-0.07300054609388472,-0.378751842686599,-0.16971675310068887,-0.38888731481668504,-0.1366447376524549,-0.3409659942102444,-0.09261686430132013,-0.37821756721209365,-0.1077673653107375,-0.26386668192605445,-0.06929985754730225,-0.2357127018631115,-0.11608419507961995,-0.40330378558899893,-0.06278186446228355,-0.2859320712456047
-0.15051034597234078,-0.44179831665777386,-0.06038099698527204,-0.3622708836123838,-0.19079786600973614,-0.3930651229908926,-0.1426817170216922,-0.34474934822693254,-0.08834325907827031,-0.38818514516007,-0.1069979995460198,-0.26413489419850517,-0.06490527815171443,-0.2323282277606109,-0.11658606322108558,-0.4130642263107411,-0.07280372423896873,-0.2787500649294016
-0.1568405135320032,-0.4147058046778675,-0.06544473653218656,-0.3743273672283026,-0.177894994687557,-0.3775162509935939,-0.16673410743314535,-0.34448288017206924,-0.10769152916434618,-0.37768730535337397,-0.10495239715902922,-0.26867334847872154,-0.062282692594919094,-0.2292686151824255,-0.11513155843979332,-0.40428462055031045,-0.06421341621584761,-0.27822441292677813
-0.1586708871424909,-0.4038452428784717,-0.05700143565509583,-0.35726500812925555,-0.1564506903214706,-0.36057962559426293,-0.15412271925723,-0.3434202184483808,-0.08108251162130412,-0.38882248890713217,-0.0979949705453822,-0.28738853855260343,-0.06559074558270327,-0.22501362196644356,-0.10850894212824193,-0.418250311225203,-0.060906992980808164,-0.29215045666993344
-0.15456952915117403,-0.4198315500901505,-0.05488720436431973,-0.36230428836921813,-0.17511940733879738,-0.3495841977403799,-0.15370362202523924,-0.35549582639386,-0.08865213550488267,-0.37902032254364143,-0.10193464414279822,-0.26187819908972326,-0.05840322958271644,-0.22580058011310825,-0.11387586783471225,-0.4130679457910552,-0.0746889075146553,-0.2831704304574744
-0.1443099049634509,-0.4264315949814061,-0.08144597703736349,-0.37513814055831785,-0.13536253669136883,-0.38024370289702053,-0.14093555060772558,-0.36116614408103104,-0.09698097885454986,-0.365139218547706,-0.09769480143595825,-0.26677320259113624,-0.06381172763581944,-0.22276625114838725,-0.118506774765347,-0.4095771539388791,-0.06822533100131323,-0.28917964756942904
-0.16290621298764515,-0.41841370325011623,-0.03434987540102771,-0.3794389014423048,-0.18308697204857896,-0.36217654299300905,-0.15112132815485535,-0.35489657960122106,-0.10297540152136396,-0.366563585032199,-0.09443820067253424,-0.261740725678148,-0.06242262714040577,-0.23449841281556844,-0.10320203167087486,-0.4079958269476175,-0.06734346413656557,-0.2770378628951901
-0.1506749159020136,-0.4464692689923962,-0.05344723649397016,-0.3736492035755328,-0.18163554465567902,-0.3811215066629174,-0.1387160642638122,-0.3425032157885684,-0.07841107322687003,-0.36753285005120806,-0.10083270535507868,-0.25300483736935264,-0.05629184426870452,-0.22687264449791764,-0.12168612828825019,-0.41096090514113515,-0.060237948259116415,-0.28310763970461167
-0.13590057100779884,-0.4227991149359242,-0.06621369595554759,-0.40248692393141977,-0.16059224508169676,-0.40486371804449195,-0.14939012726866666,-0.3473445144034582,-0.08552948153831672,-0.3691759911751933,-0.09291440004212498,-0.25318824631531966,-0.06792777674259783,-0.22686369231342107,-0.11848100651411263,-0.4195842160232717,-0.07272212374578402,-0.28584898625886346
