variable,value,Simulated
TVAE_10000_0,2.928939125393689,3.1622184302783847
TVAE_10000_0,3.0050449324069506,3.1622184302783847
TVAE_10000_0,2.9085042672678774,3.1622184302783847
TVAE_10000_0,2.91163433960908,3.1622184302783847
TVAE_10000_0,2.943848122165857,3.1622184302783847
TVAE_10000_0,2.9627615731789563,3.1622184302783847
TVAE_10000_0,2.89173246934208,3.1622184302783847
TVAE_10000_0,2.889207130196753,3.1622184302783847
TVAE_10000_0,2.8595131825730347,3.1622184302783847
TVAE_10000_0,2.9222566284443223,3.1622184302783847
TVAE_10000_0,2.9195121068003003,3.1622184302783847
TVAE_10000_0,2.8907362563220413,3.1622184302783847
TVAE_10000_0,2.92277907377338,3.1622184302783847
TVAE_10000_0,2.8999282332338163,3.1622184302783847
TVAE_10000_0,2.883895738433365,3.1622184302783847
TVAE_10000_0,2.8791901296100946,3.1622184302783847
TVAE_10000_0,2.9357493095414915,3.1622184302783847
TVAE_10000_0,2.8858235066898628,3.1622184302783847
TVAE_10000_0,2.864802672147633,3.1622184302783847
TVAE_10000_0,2.864230690291302,3.1622184302783847
TVAE_10000_0,2.8996498402176,3.1622184302783847
TVAE_10000_0,2.963415723373062,3.1622184302783847
TVAE_10000_0,2.8762792152460834,3.1622184302783847
TVAE_10000_0,2.913325713216784,3.1622184302783847
TVAE_10000_0,2.960911257898547,3.1622184302783847
TVAE_10000_0,2.917592142593389,3.1622184302783847
TVAE_10000_0,2.956820612601591,3.1622184302783847
TVAE_10000_0,2.9318390589423813,3.1622184302783847
TVAE_10000_0,2.957028343265593,3.1622184302783847
TVAE_10000_0,2.985033789412897,3.1622184302783847
TVAE_10000_0,2.9027650569469032,3.1622184302783847
TVAE_10000_0,2.9417981520530776,3.1622184302783847
TVAE_10000_0,2.9637625657284845,3.1622184302783847
TVAE_10000_0,2.9137528140630096,3.1622184302783847
TVAE_10000_0,2.9369357465465638,3.1622184302783847
TVAE_10000_0,2.9611023159657206,3.1622184302783847
TVAE_10000_0,2.886299314336113,3.1622184302783847
TVAE_10000_0,2.9418455584199563,3.1622184302783847
TVAE_10000_0,2.9209133079033403,3.1622184302783847
TVAE_10000_0,2.9225122186886985,3.1622184302783847
TVAE_10000_0,2.8705301777955765,3.1622184302783847
TVAE_10000_0,3.0134831441173797,3.1622184302783847
TVAE_10000_0,2.967323147676565,3.1622184302783847
TVAE_10000_0,2.964013704672813,3.1622184302783847
TVAE_10000_0,2.9227062349620145,3.1622184302783847
TVAE_10000_0,2.8460667428103603,3.1622184302783847
TVAE_10000_0,2.892262197652581,3.1622184302783847
TVAE_10000_0,2.8560411727962585,3.1622184302783847
