variable,value,Simulated
TVAE_10000_0,0.7959853446328597,0.971483469980929
TVAE_10000_0,0.7925471509464899,0.971483469980929
TVAE_10000_0,0.7945280273004715,0.971483469980929
TVAE_10000_0,0.7789173845437248,0.971483469980929
TVAE_10000_0,0.792055211262195,0.971483469980929
TVAE_10000_0,0.7717998723976628,0.971483469980929
TVAE_10000_0,0.7718092743687662,0.971483469980929
TVAE_10000_0,0.7282678294074777,0.971483469980929
TVAE_10000_0,0.7672591541266542,0.971483469980929
TVAE_10000_0,0.7828811717257256,0.971483469980929
TVAE_10000_0,0.7623029260409456,0.971483469980929
TVAE_10000_0,0.8094189011023659,0.971483469980929
TVAE_10000_0,0.7592118864307059,0.971483469980929
TVAE_10000_0,0.7686648042209978,0.971483469980929
TVAE_10000_0,0.8025284734943761,0.971483469980929
TVAE_10000_0,0.7842008682346919,0.971483469980929
TVAE_10000_0,0.7886579133535241,0.971483469980929
TVAE_10000_0,0.7987430607630808,0.971483469980929
TVAE_10000_0,0.7662323284162291,0.971483469980929
TVAE_10000_0,0.785240274911292,0.971483469980929
TVAE_10000_0,0.7971628214260839,0.971483469980929
TVAE_10000_0,0.7968852568346759,0.971483469980929
TVAE_10000_0,0.8016590435446458,0.971483469980929
TVAE_10000_0,0.8398292388401642,0.971483469980929
TVAE_10000_0,0.7863086083943913,0.971483469980929
TVAE_10000_0,0.7944060212469378,0.971483469980929
TVAE_10000_0,0.7911640433109944,0.971483469980929
TVAE_10000_0,0.7541835228284754,0.971483469980929
TVAE_10000_0,0.7893349270501462,0.971483469980929
TVAE_10000_0,0.7868460406019587,0.971483469980929
TVAE_10000_0,0.8131180518301852,0.971483469980929
TVAE_10000_0,0.8069955823107725,0.971483469980929
TVAE_10000_0,0.7643779576700721,0.971483469980929
TVAE_10000_0,0.8105978024056808,0.971483469980929
TVAE_10000_0,0.7586431580869701,0.971483469980929
TVAE_10000_0,0.7793887122788984,0.971483469980929
TVAE_10000_0,0.7634497395961016,0.971483469980929
TVAE_10000_0,0.7961844193538231,0.971483469980929
TVAE_10000_0,0.7970568259464595,0.971483469980929
TVAE_10000_0,0.809245245691286,0.971483469980929
TVAE_10000_0,0.8004996745749395,0.971483469980929
TVAE_10000_0,0.8002637402280383,0.971483469980929
TVAE_10000_0,0.7946401300361472,0.971483469980929
TVAE_10000_0,0.7934117005761676,0.971483469980929
TVAE_10000_0,0.7654833945323316,0.971483469980929
TVAE_10000_0,0.7752694389663112,0.971483469980929
TVAE_10000_0,0.7855272670561632,0.971483469980929
TVAE_10000_0,0.7754862174463157,0.971483469980929
TVAE_10000_0,0.7903958050118555,0.971483469980929
TVAE_10000_0,0.7945312282832064,0.971483469980929
TVAE_10000_0,0.7516491429600459,0.971483469980929
TVAE_10000_0,0.8104444741679567,0.971483469980929
TVAE_10000_0,0.7754173943595353,0.971483469980929
TVAE_10000_0,0.7817947258019871,0.971483469980929
TVAE_10000_0,0.7861604442306657,0.971483469980929
TVAE_10000_0,0.7841032527707024,0.971483469980929
TVAE_10000_0,0.7940408502890837,0.971483469980929
TVAE_10000_0,0.7891827106393545,0.971483469980929
TVAE_10000_0,0.8025115419246398,0.971483469980929
